
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||','||'COLUMN_NAME'||','||'POSITION'||','||'R_OWN
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,DELETE_RULE

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION||','||CON.R_OWNER||','||RCON.TABLE_NAME||','||RCOL.COLUMN_NAME||','||NVL(CON.DELETE_RULE,'NOACTION')
APEX_030200,WWV_FLOW_DATA_LOAD_BAD_LOG,WWV_FLOW_DATA_LOAD_BAD_LOG_FK1,LOAD_ID,1,APEX_030200,WWV_FLOW_DATA_LOAD_UNLOAD,ID,CASCADE
APEX_030200,WWV_FLOW_DATA_LOAD_BAD_LOG,WWV_FLOW_DATA_LOAD_BAD_LOG_FK2,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_DATA_LOAD_UNLOAD,WWV_FLOW_DATA_LOAD_UNLOAD_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_DB_AUTH,WWV_FLOW_DB_AUTH_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_DEVELOPERS,WWV_FLOW_DEV_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_DICTIONARY$,WWV_DICTIONARY_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_DYNAMIC_TRANSLATIONS$,WWV_FLOW_DYNAMIC_TRANS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_EFFECTIVE_USERID_MAP,WWV_FLOW_EFF_USR_MAP_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_ENTRY_POINTS,WWV_FLOW_ENTRY_POINTS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_ENTRY_POINT_ARGS,WWV_FLOW_ENTRY_POINT_ARGS_FK,FLOW_ENTRY_POINT_ID,1,APEX_030200,WWV_FLOW_ENTRY_POINTS,ID,CASCADE
APEX_030200,WWV_FLOW_FIELD_TEMPLATES,WWV_FLOW_FIELD_TEMP_F_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_FLASH_CHARTS,WWV_FLOW_FLASH_CHARTS_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_FLASH_CHARTS,WWV_FLOW_FLASH_CHARTS_FK2,REGION_ID,1,APEX_030200,WWV_FLOW_PAGE_PLUGS,ID,CASCADE
APEX_030200,WWV_FLOW_FLASH_CHART_SERIES,WWV_FLOW_FLASH_CHART_SERIES_FK,CHART_ID,1,APEX_030200,WWV_FLOW_FLASH_CHARTS,ID,CASCADE
APEX_030200,WWV_FLOW_FND_GROUP_USERS,WWV_FLOW_FND_GU_INT_G_FK,GROUP_ID,1,APEX_030200,WWV_FLOW_FND_USER_GROUPS,ID,CASCADE
APEX_030200,WWV_FLOW_FND_GROUP_USERS,WWV_FLOW_FND_GU_INT_U_FK,USER_ID,1,APEX_030200,WWV_FLOW_FND_USER,USER_ID,CASCADE
APEX_030200,WWV_FLOW_FND_USER,WWV_FLOW_FND_USER_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_FND_USER_GROUPS,WWV_FLOW_FND_USER_GRPS_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_HNT_ARGUMENT_INFO,WWV_FLOW_HNT_ARG_INFO_PROC_FK,PROCEDURE_ID,1,APEX_030200,WWV_FLOW_HNT_PROCEDURE_INFO,PROCEDURE_ID,CASCADE
APEX_030200,WWV_FLOW_HNT_COLUMN_INFO,WWV_FLOW_HNT_COL_INFO_TAB_FK,TABLE_ID,1,APEX_030200,WWV_FLOW_HNT_TABLE_INFO,TABLE_ID,CASCADE
APEX_030200,WWV_FLOW_HNT_LOV_DATA,WWV_FLOW_HNT_LOV_DATA_COL_FK,COLUMN_ID,1,APEX_030200,WWV_FLOW_HNT_COLUMN_INFO,COLUMN_ID,CASCADE
APEX_030200,WWV_FLOW_HTML_REPOSITORY,WWV_FLOW_HTML_REP_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_ICON_BAR,WWV_FLOW_ICON_BAR_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_ICON_BAR_ATTRIBUTES,WWV_FLOW_ICONBARATTR_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_IMAGE_REPOSITORY,WWV_FLOW_IMG_REP_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_IMPORT_EXPORT,WWV_FLOW_IMPORT_EXPORT_FK,DATA_ID,1,FLOWS_FILES,WWV_FLOW_FILE_OBJECTS$,ID,NO ACTION
APEX_030200,WWV_FLOW_IMPORT_EXPORT,WWV_FLOW_IMP_EXP_FK,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,CASCADE
APEX_030200,WWV_FLOW_INSTALL,WWV_FLOW_INSTALL_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,CASCADE
APEX_030200,WWV_FLOW_INSTALL,WWV_FLOW_INSTALL_FK2,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_BUILD_OPT,WWV_FLOW_INSTALL_BUILD_OPT_FK,FLOW_ID,1,APEX_030200,WWV_FLOWS,ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_BUILD_OPT,WWV_FLOW_INSTALL_BUILD_OPT_FK2,SECURITY_GROUP_ID,1,APEX_030200,WWV_FLOW_COMPANIES,PROVISIONING_COMPANY_ID,NO ACTION
APEX_030200,WWV_FLOW_INSTALL_BUILD_OPT,WWV_FLOW_INSTALL_BUILD_OPT_FK3,INSTALL_ID,1,APEX_030200,WWV_FLOW_INSTALL,ID,CASCADE
APEX_030200,WWV_FLOW_INSTALL_BUILD_OPT,WWV_FLOW_INSTALL_BUILD_OPT_FK4,BUILD_OPT_ID,1,APEX_030200,WWV_FLOW_PATCHES,ID,CASCADE
