
'OWNER'||','||'TRIGGER_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'TRI
OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS
AGGREGATE,AGG_AUDIT_LOG_TRG,AGGREGATE,AGG_AUDIT_LOG,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_AUTHORIZED_TRG,AGGREGATE,AGG_AUTHORIZED,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
AGGREGATE,AGG_AUTHORIZED_HIST_TRG,AGGREGATE,AGG_AUTHORIZED_HIST,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,AGG_EMAIL_MSG_TRG,AGGREGATE,AGG_EMAIL_MSG,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_ERROR_LOG_TRG,AGGREGATE,AGG_ERROR_LOG,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,AGG_INV_ASSETS_TRG,AGGREGATE,AGG_INV_ASSETS,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,AGG_INVA_HIST_TRG,AGGREGATE,AGG_INV_ASSETS_HIST,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,AGG_LOC_PRIV_TRG,AGGREGATE,AGG_LOC_PRIV,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_LOC_PRIV_HIST_TRG,AGGREGATE,AGG_LOC_PRIV_HIST,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_USER_TRG,AGGREGATE,AGG_USER,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_USER_APP_TRG,AGGREGATE,AGG_USER_APP,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
AGGREGATE,AGG_USER_HIST_TRG,AGGREGATE,AGG_USER_HIST,BEFORE EACH ROW,INSERT,ENABLED
AGGREGATE,AGG_USER_PHONE_TRG,AGGREGATE,AGG_USER_PHONE,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
