
'OWNER'||','||'TABLE_NAME'||','||'TABLESPACE_NAME'||','||'NUM_RO
OWNER,TABLE_NAME,TABLESPACE_NAME,NUM_ROWS,LAST_ANALYZED,COMMENTS

T.OWNER||','||T.TABLE_NAME||','||NVL(T.TABLESPACE_NAME,'NULL')||','||NVL(TO_CHAR(T.NUM_ROWS),'NULL')||','||NVL(TO_CHAR(T.LAST_ANALYZED,'YYYY-MM-DDHH24:MI:SS'),'NULL')||','||'"'||REPLACE(NVL(C.COMMENT
AGGREGATE,AGG_LOC_PRIV,INVENTORY_TBS,0,2013-06-20 13:30:05,"AGGREGATE USER PRIVILEGES BY LOCATION"
AGGREGATE,AGG_LOC_PRIV_HIST,INVENTORY_TBS,0,2013-06-20 13:30:05,"HISTORY OF AGGREGATE USER LOCATION PRIVILEGES"
AGGREGATE,AGG_MDS,INVENTORY_TBS,140,2022-07-29 22:04:02,""
AGGREGATE,AGG_USER,INVENTORY_TBS,16924,2025-11-25 22:01:03,""
AGGREGATE,AGG_USER_APP,INVENTORY_TBS,17154,2024-12-11 22:02:23,""
AGGREGATE,AGG_USER_HIST,INVENTORY_TBS,654377,2023-10-28 10:04:45,""
AGGREGATE,AGG_USER_PHONE,INVENTORY_TBS,9407,2025-04-08 22:01:21,""
AGGREGATE,AGG_USER_PRIV,INVENTORY_TBS,28307,2025-06-26 22:00:58,"AGGREGATE USER PRIVILEGES"
AGGREGATE,AGG_USER_PRIV_HIST,INVENTORY_TBS,157819,2025-09-08 22:01:06,"HISTORY OF AGGREGATE USER PRIVILEGES"
AGGREGATE,AGG_USER_UP,INVENTORY_TBS,11516,2025-04-21 22:01:19,""
AGGREGATE,AGG_USER_UP_HIST,INVENTORY_TBS,11857,2024-10-01 22:01:32,""
AGGREGATE,AUDIT_ACCESS,INVENTORY_TBS,1604796,2022-08-10 22:03:21,""
AGGREGATE,CODE,INVENTORY_TBS,14,2025-12-04 22:00:46,"TABLE TO STORE CODES FOR FK-LOOKUP AND PICK-LIST VALUES"
AGGREGATE,HELP_ASSIGN,INVENTORY_TBS,178,2022-07-29 22:04:02,"TABLE TO TRACK HELP REQUEST ASSIGNMENTS"
AGGREGATE,HELP_REQUEST,INVENTORY_TBS,1598,2025-10-28 22:00:58,"TABLE TO TRACK USER-SUBMITTED HELP REQUESTS"
AGGREGATE,MAX_ERROR_LOG,INVENTORY_TBS,56675,2022-07-28 22:09:41,""
AGGREGATE,PRIV_GROUP,INVENTORY_TBS,7,2016-05-30 22:25:30,"TABLE TO STORE GROUP NAMES FOR PRIVILEGE SETS"
AGGREGATE,PRIV_GROUP_GRANTS,INVENTORY_TBS,18,2013-06-20 13:41:01,"TABLE TO ASSIGN PRIVILEGES TO A GROUP"
AGGREGATE,PRIV_LIST,INVENTORY_TBS,18,2016-06-08 22:04:47,"TABLE TO STORE A LIST OF APPLICATION PRIVILEGES"
AGGREGATE,PRIV_PROFILE_GRANTS,INVENTORY_TBS,0,2013-06-20 13:41:01,"TABLE TO ASSIGN PRIVILEGES OR GROUPS TO A PROFILE"
AGGREGATE,PRIV_USER_GRANTS,INVENTORY_TBS,0,2013-06-20 13:41:02,"TABLE TO ASSIGN PRIVILEGES OR GROUPS TO A USER"
AGGREGATE,RAW_UID_DATA,INVENTORY_TBS,1260,2022-07-29 22:04:04,""
AGGREGATE,RDR_ACTION,INVENTORY_TBS,0,2013-06-20 13:41:18,"RECOGNIZED READER ACTION NAMES"
AGGREGATE,RDR_BATCH,INVENTORY_TBS,11487,2022-07-29 22:03:46,"BATCH OF RAW DATA READ BY THE READER AND STORED FOR PROCESSING"
AGGREGATE,RDR_PREFIX,INVENTORY_TBS,0,2013-06-20 13:41:18,"RECOGNIZED READER PREFIXES AND RELATION TO AN ACTION NAMES"
AGGREGATE,RPT_DEBUG,INVENTORY_TBS,352889,2025-11-06 22:01:28,""
AGGREGATE,RPT_NAME,INVENTORY_TBS,177,2020-11-24 22:03:05,""
AGGREGATE,RPT_PARAMETER,INVENTORY_TBS,631,2017-08-11 22:04:43,""
AGGREGATE,RPT_PARM_PROCESS,INVENTORY_TBS,430,2013-06-20 22:00:43,""
AGGREGATE,RPT_REQUEST,INVENTORY_TBS,5098540,2025-05-03 10:02:16,""
AGGREGATE,RPT_REQUEST_VAR,INVENTORY_TBS,34663470,2024-10-18 22:01:57,""
AGGREGATE,RPT_SQL,INVENTORY_TBS,625,2020-03-09 19:01:47,""
AGGREGATE,SAVE_AGG_AUTHORIZED_HIST,INVENTORY_TBS,87,2013-06-20 13:43:12,""
AGGREGATE,UID_REG_20070612,INVENTORY_TBS,3783,2013-06-20 13:44:42,""
AGGREGATE,UII_ASSETS,INVENTORY_TBS,7109,2022-07-29 22:04:04,""
AGGREGATE,UPLOAD,INVENTORY_TBS,11426,2025-03-25 22:01:38,""
AGGREGATE,UPLOAD_HIST,INVENTORY_TBS,22443,2024-10-01 22:01:33,""
AGGREGATE,USER_ACCT_LOG,INVENTORY_TBS,196897,2024-08-27 22:01:40,"LOG TO STORE DISABLE/PURGE ACTIONS FOR USERS"
AGGREGATE,USER_LISTING,USERS,970615,2026-01-07 22:01:05,""
AGGREGATE,USER_PERMISSIONS,USERS,20159830,2025-12-10 22:00:44,""
APEX_030200,SYS_IOT_OVER_89528,APEX_TBS,0,2013-06-20 14:37:10,""
APEX_030200,WWV_COLUMN_EXCEPTIONS,APEX_TBS,3,2013-06-20 14:37:04,""
APEX_030200,WWV_FLOWS,APEX_TBS,11,2016-05-30 22:25:33,""
APEX_030200,WWV_FLOWS_RESERVED,APEX_TBS,0,2013-06-20 14:37:05,""
APEX_030200,WWV_FLOW_ACTIVITY_LOG1$,APEX_TBS,13752,2016-05-27 22:01:29,""
APEX_030200,WWV_FLOW_ACTIVITY_LOG2$,APEX_TBS,36055,2016-05-22 18:09:54,""
APEX_030200,WWV_FLOW_ACTIVITY_LOG_NUMBER$,APEX_TBS,1,2016-05-23 22:54:33,""
APEX_030200,WWV_FLOW_ALTERNATE_CONFIG,APEX_TBS,0,2013-06-20 14:37:05,""
APEX_030200,WWV_FLOW_ALT_CONFIG_DETAIL,APEX_TBS,0,2013-06-20 14:37:05,""
APEX_030200,WWV_FLOW_ALT_CONFIG_PICK,APEX_TBS,37,2013-06-20 14:37:05,""
APEX_030200,WWV_FLOW_APPLICATION_GROUPS,APEX_TBS,1,2016-05-30 22:25:33,""
APEX_030200,WWV_FLOW_APP_BUILD_PREF,APEX_TBS,0,2013-06-20 14:37:05,""
APEX_030200,WWV_FLOW_APP_COMMENTS,APEX_TBS,1,2016-05-30 22:25:33,""
APEX_030200,WWV_FLOW_BANNER,APEX_TBS,11,2016-05-30 22:25:34,""
APEX_030200,WWV_FLOW_BUILDER_AUDIT_TRAIL,APEX_TBS,14,2015-02-08 15:46:28,""
APEX_030200,WWV_FLOW_BUTTON_TEMPLATES,APEX_TBS,57,2016-05-30 22:25:35,""
APEX_030200,WWV_FLOW_CALS,APEX_TBS,11,2016-05-30 22:25:35,""
APEX_030200,WWV_FLOW_CAL_TEMPLATES,APEX_TBS,42,2016-05-30 22:25:45,""
APEX_030200,WWV_FLOW_CHARSETS,APEX_TBS,32,2013-06-20 14:37:06,""
APEX_030200,WWV_FLOW_CLICKTHRU_LOG$,APEX_TBS,0,2013-06-20 14:37:06,""
APEX_030200,WWV_FLOW_CLICKTHRU_LOG2$,APEX_TBS,0,2013-06-20 14:37:06,""
APEX_030200,WWV_FLOW_CLICKTHRU_LOG_NUMBER$,APEX_TBS,1,2013-06-20 14:37:06,""
APEX_030200,WWV_FLOW_COLLECTIONS$,APEX_TBS,0,2016-05-31 22:01:00,""
APEX_030200,WWV_FLOW_COLLECTION_MEMBERS$,APEX_TBS,0,2016-05-31 22:01:11,""
APEX_030200,WWV_FLOW_COMPANIES,APEX_TBS,4,2016-05-30 22:10:09,""
APEX_030200,WWV_FLOW_COMPANY_SCHEMAS,APEX_TBS,2,2016-05-30 22:25:33,""
APEX_030200,WWV_FLOW_COMPANY_TYPES,APEX_TBS,32,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_COMPOUND_CONDITIONS,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_COMPUTATIONS,APEX_TBS,14,2016-05-30 22:25:35,""
APEX_030200,WWV_FLOW_COUNTRIES,APEX_TBS,240,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_CSS_REPOSITORY,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_CUSTOMIZED_TASKS,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_CUSTOM_AUTH_SETUPS,APEX_TBS,17,2016-05-30 22:25:36,""
APEX_030200,WWV_FLOW_DATA,APEX_TBS,0,2016-05-31 22:01:10,""
APEX_030200,WWV_FLOW_DATA_LOAD_BAD_LOG,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_DATA_LOAD_UNLOAD,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_DB_AUTH,APEX_TBS,1,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_DEBUG,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_DEVELOPERS,APEX_TBS,4,2016-05-30 22:25:36,""
APEX_030200,WWV_FLOW_DEVELOPER_ROLES,APEX_TBS,9,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_DICTIONARY$,APEX_TBS,70601,2013-06-20 22:00:13,""
APEX_030200,WWV_FLOW_DUAL100,APEX_TBS,100,2016-05-30 22:25:36,""
APEX_030200,WWV_FLOW_DYNAMIC_TRANSLATIONS$,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_EFFECTIVE_USERID_MAP,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_ENTRY_POINTS,APEX_TBS,0,2013-06-20 14:37:07,""
APEX_030200,WWV_FLOW_ENTRY_POINT_ARGS,APEX_TBS,0,2013-06-20 14:37:08,""
APEX_030200,WWV_FLOW_FIELD_TEMPLATES,APEX_TBS,91,2016-05-30 22:25:34,""
APEX_030200,WWV_FLOW_FILE_OBJECTS$PART,APEX_TBS,0,2013-06-20 14:37:08,""
APEX_030200,WWV_FLOW_FLASH_CHARTS,APEX_TBS,5,2016-05-30 22:25:37,""
APEX_030200,WWV_FLOW_FLASH_CHART_SERIES,APEX_TBS,5,2016-05-30 22:25:38,""
APEX_030200,WWV_FLOW_FND_GROUP_USERS,APEX_TBS,0,2013-06-20 14:37:08,""
APEX_030200,WWV_FLOW_FND_USER,APEX_TBS,5,2015-01-10 19:37:15,""
APEX_030200,WWV_FLOW_FND_USER_GROUPS,APEX_TBS,0,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_FOLDERS,APEX_TBS,0,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_HNT_ARGUMENT_INFO,APEX_TBS,0,2013-06-20 14:37:09,"Contains information about each argument in each procedure in a schema.  This information can be used by the wizards to default forms."
APEX_030200,WWV_FLOW_HNT_COLUMN_INFO,APEX_TBS,58,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_HNT_LOV_DATA,APEX_TBS,0,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_HNT_PROCEDURE_INFO,APEX_TBS,0,2013-06-20 14:37:09,"Contains information about each procedure in a schema.  This can be just a procedure or a procedure within a package.  This can be used by the wizards to default forms."
APEX_030200,WWV_FLOW_HNT_TABLE_INFO,APEX_TBS,8,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_HTML_REPOSITORY,APEX_TBS,0,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_ICON_BAR,APEX_TBS,14,2016-05-30 22:25:34,""
APEX_030200,WWV_FLOW_ICON_BAR_ATTRIBUTES,APEX_TBS,0,2013-06-20 14:37:09,""
APEX_030200,WWV_FLOW_IMAGE_REPOSITORY,APEX_TBS,0,2013-06-20 14:37:10,""
