
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
ACTS,ACTS_S_SYS_CONFIG_SEQ,1,999999999999999999999999999,1,N,20,19062
ACTS,ACTS_S_SYS_INV_SEQ,1,999999999999999999999999999,1,N,20,75867
ACTS,ACTS_S_SYS_MOD_SEQ,1,999999999999999999999999999,1,N,20,4780
ACTS,ACTS_S_SYS_PMI_SEQ,1,999999999999999999999999999,1,N,20,2281
ACTS,ACTS_S_TEST_SEQ,1,999999999999999999999999999,1,N,20,40497
ACTS,ACTS_S_TIME_SEQ,1,999999999999999999999999999,1,N,20,38646
ACTS,ACTS_TEST_DICT_SEQ,1,999999999999999999999999999,1,N,20,361
ACTS,ACTS_TEST_SEQ,1,999999999999999999999999999,1,N,20,201
ACTS,ACTS_TIME_OLD_SEQ,1,999999999999999999999999999,1,N,20,1201
ACTS,ACTS_TIME_SEQ,1,999999999999999999999999999,1,N,20,1121
ACTS,ACTS_TRANSFER_LOG_SEQ,1,999999999999999999999999999,1,N,20,61
ACTS,ACTS_TYND_MAINT1_SEQ,1,999999999999999999999999999,1,N,20,341
ACTS,ACTS_TYND_MAINT1_TEMP_SEQ,1,999999999999999999999999999,1,N,20,341
ACTS,ACTS_TYND_MAINT2_SEQ,1,999999999999999999999999999,1,N,20,81
ACTS,ACTS_TYND_MAINT2_TEMP_SEQ,1,999999999999999999999999999,1,N,20,81
ACTS,ACTS_TYND_MAINT3_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_TYND_MAINT3_TEMP_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_TYND_MAINT4_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_TYND_MAINT4_TEMP_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_TYND_MAINT_REC_ALT_SEQ,1,999999999999999999999999999,1,N,20,1281
ACTS,ACTS_TYND_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,1281
ACTS,ACTS_TYND_MAINT_SEQ,1,999999999999999999999999999,1,N,20,401
ACTS,ACTS_TYND_SYS_CONFIG_SEQ,1,999999999999999999999999999,1,N,20,281
ACTS,ACTS_TYND_SYS_INV_SEQ,1,999999999999999999999999999,1,N,20,101
ACTS,ACTS_T_BASE_DICT_SEQ,1,999999999999999999999999999,1,N,20,1695
ACTS,ACTS_T_MAINT1_SEQ,1,999999999999999999999999999,1,N,20,79747
ACTS,ACTS_T_MAINT2_SEQ,1,999999999999999999999999999,1,N,20,5880
ACTS,ACTS_T_MAINT3_SEQ,1,999999999999999999999999999,1,N,20,1484
ACTS,ACTS_T_MAINT4_SEQ,1,999999999999999999999999999,1,N,20,826
ACTS,ACTS_T_MAINT5_SEQ,1,999999999999999999999999999,1,N,20,42
ACTS,ACTS_T_MAINT6_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_T_MAINT7_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_T_MAINT8_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_T_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,101611
ACTS,ACTS_T_MAINT_TRACK_SEQ,1,999999999999999999999999999,1,N,20,161
