
'OWNER'||','||'INDEX_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'UNIQUENESS'||','||'INDEX
OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,COLUMN_NAME,COLUMN_POSITION,DESCEND

I.OWNER||','||I.INDEX_NAME||','||I.TABLE_OWNER||','||I.TABLE_NAME||','||I.UNIQUENESS||','||I.INDEX_TYPE||','||IC.COLUMN_NAME||','||IC.COLUMN_POSITION||','||IC.DESCEND
ACTS,PK_SFTW_DICT,ACTS,ACTS_SFTW_DICT,UNIQUE,NORMAL,CPIN,2,ASC
ACTS,PK_SFTW_DICT,ACTS,ACTS_SFTW_DICT,UNIQUE,NORMAL,REV,3,ASC
ACTS,ACTS_SITE_INFO_UQ,ACTS,ACTS_SITE_INFO,UNIQUE,NORMAL,BASENAME,1,ASC
ACTS,ACTS_SITE_INFO_UQ,ACTS,ACTS_SITE_INFO,UNIQUE,NORMAL,MAINT_UNIT,2,ASC
ACTS,ACTS_SITE_INFO_UQ,ACTS,ACTS_SITE_INFO,UNIQUE,NORMAL,MAJCOM,3,ASC
ACTS,PK_ACTS_SITE_INFO,ACTS,ACTS_SITE_INFO,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SPECL_SERIAL_METRICS,ACTS,ACTS_SPECIAL_SERIAL_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SPECL_SUMMARY_METRICS,ACTS,ACTS_SPECIAL_SUMMARY_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_DICT,ACTS,ACTS_SRA_DICT,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_METER_CUM,ACTS,ACTS_SRA_METER_CUM,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_METRICS,ACTS,ACTS_SRA_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_METRIC_SUMMARY,ACTS,ACTS_SRA_METRIC_SUMMARY,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_SERIAL_METRICS,ACTS,ACTS_SRA_SERIAL_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_SRA_SUMMARY_METRICS,ACTS,ACTS_SRA_SUMMARY_METRICS,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,ACTS_SYS_ETM_UQ,ACTS,ACTS_SYS_ETM,UNIQUE,NORMAL,PARTNO,1,ASC
ACTS,ACTS_SYS_ETM_UQ,ACTS,ACTS_SYS_ETM,UNIQUE,NORMAL,SERNO,2,ASC
ACTS,PK_ACTS_SYS_ETM,ACTS,ACTS_SYS_ETM,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,IDX_SYSMTX_SNAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SERNO,1,ASC
ACTS,IDX_SYSMTX_SNAU,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,ASSIGNED_UNIT,2,ASC
ACTS,IDX_SYSMTX_SPSJOB,ACTS,ACTS_SYS_METRICS,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
